"EventNumber","Time.msec","JOY_X_signal","JOY_Y_signal","BEAM_Z_signal","Date","X.N","Y.N","Z.N","X.N.off","Y.N.off","Z.N.off","Norm","BaselineTime.msec","PeckPush","Duration.msec","StartPeak.msec","EndPeak.msec"
1,616641,2496,1934,1910,2016-12-14,-7.39,-9.36,-1.87,-4.72,-7.14,0.32,8.56,616411,"Peck",20,616631,616651
2,616721,2418,1845,1552,2016-12-14,-11.57,-15.13,-16.19,-8.9,-12.91,-14,21.02,616411,"Peck",30,616711,616741
3,616821,2301,1721,1243,2016-12-14,-17.85,-23.17,-28.56,-15.18,-20.94,-26.37,36.94,616411,"Peck",30,616811,616841
4,618011,2159,1571,1718,2016-12-14,-25.48,-32.89,-9.55,-21.9,-29.36,-7.35,37.36,617821,"Peck",30,618001,618031
5,618371,2557,1953,1843,2016-12-14,-4.11,-8.13,-4.55,-0.54,-4.59,-2.35,5.19,617821,"Push",260,618121,618381
6,618561,2515,1883,1730,2016-12-14,-6.37,-12.67,-9.07,-2.79,-9.13,-6.87,11.76,617821,"Push",130,618451,618581
7,618651,2533,1852,1682,2016-12-14,-5.4,-14.68,-10.99,-1.83,-11.14,-8.79,14.31,617821,"Push",80,618641,618721
8,621321,2545,1948,1844,2016-12-14,-4.76,-8.45,-4.51,-2.4,-5.61,-1.74,6.34,621211,"Peck",20,621311,621331
9,621391,2548,1967,1834,2016-12-14,-4.6,-7.22,-4.91,-2.24,-4.38,-2.14,5.36,621211,"Peck",20,621381,621401
10,621471,2514,1861,1586,2016-12-14,-6.42,-14.09,-14.83,-4.07,-11.25,-12.06,16.98,621211,"Peck",30,621451,621481
11,621571,2503,1914,1627,2016-12-14,-7.01,-10.66,-13.19,-4.66,-7.81,-10.42,13.83,621211,"Peck",20,621561,621581
12,621641,2443,1878,1734,2016-12-14,-10.23,-12.99,-8.91,-7.88,-10.14,-6.14,14.23,621211,"Push",50,621631,621681
13,621821,2533,1992,1831,2016-12-14,-5.4,-5.6,-5.03,-3.05,-2.75,-2.26,4.69,621211,"Peck",30,621811,621841
14,621911,2456,2000,1538,2016-12-14,-9.53,-5.08,-16.75,-7.18,-2.24,-13.98,15.87,621211,"Peck",20,621901,621921
15,622031,2413,1591,2138,2016-12-14,-11.84,-31.6,7.25,-9.49,-28.75,10.03,31.89,621211,"Push",90,622021,622111
16,622131,2485,1923,1680,2016-12-14,-7.98,-10.08,-11.07,-5.62,-7.23,-8.3,12.36,621211,"Push",60,622111,622171
17,622221,2421,1739,1588,2016-12-14,-11.41,-22,-14.75,-9.06,-19.15,-11.98,24.34,621211,"Peck",20,622211,622231
18,622371,2505,1894,1762,2016-12-14,-6.9,-11.96,-7.79,-4.55,-9.11,-5.02,11.35,621211,"Push",50,622361,622411
19,623781,2588,1990,1864,2016-12-14,-2.45,-5.73,-3.71,-0.52,-2.5,-0.57,2.62,623571,"Peck",20,623771,623791
20,623841,2537,1824,1739,2016-12-14,-5.19,-16.49,-8.71,-3.26,-13.26,-5.57,14.75,623571,"Push",60,623831,623891
21,623971,2561,1981,1830,2016-12-14,-3.9,-6.32,-5.07,-1.97,-3.09,-1.93,4.14,623571,"Push",40,623961,624001
22,624905,2538,1936,1784,2016-12-14,-5.13,-9.23,-6.91,-3.96,-5.53,-3.07,7.46,624805,"Push",40,624895,624935
23,625095,2349,1603,1826,2016-12-14,-15.28,-30.82,-5.23,-14.1,-27.11,-1.39,30.59,624805,"Push",40,625085,625125
24,625225,2665,2017,1856,2016-12-14,1.68,-3.98,-4.03,2.86,-0.28,-0.19,2.88,624805,"Peck",20,625215,625235
25,625335,2507,1938,1740,2016-12-14,-6.8,-9.1,-8.67,-5.62,-5.4,-4.83,9.17,624805,"Push",110,625325,625435
26,625805,2602,1989,1884,2016-12-14,-1.7,-5.8,-2.91,-0.52,-2.09,0.93,2.35,624805,"Peck",20,625795,625815
